Candidate ID,Education,Experience,Skills,Projects,Certifications,Resume Text
Candidate_01,"M.S. in Artificial Intelligence, University of Tech (2023). B.S. in Computer Science, State University (2021).",ML Intern at InnovateTech (2022-2023): Developed predictive models using Scikit-learn and TensorFlow. Implemented data pipelines with Pandas. Research Assistant at University Lab (2021): Worked on NLP projects using PyTorch.,"Python, Machine Learning, Deep Learning, NumPy, Pandas, Scikit-learn, TensorFlow, PyTorch, SQL, Git, NLP, Data Structures, Statistics, Matplotlib, Seaborn, Data Visualization.",Personal Project: Sentiment Analysis with BERT (PyTorch). Academic Project: Image Classification using CNNs (TensorFlow).,Deep Learning Specialization (Coursera).,"M.S. in Artificial Intelligence, University of Tech (2023). B.S. in Computer Science, State University (2021). ML Intern at InnovateTech (2022-2023): Developed predictive models using Scikit-learn and TensorFlow. Implemented data pipelines with Pandas. Research Assistant at University Lab (2021): Worked on NLP projects using PyTorch. Python, Machine Learning, Deep Learning, NumPy, Pandas, Scikit-learn, TensorFlow, PyTorch, SQL, Git, NLP, Data Structures, Statistics, Matplotlib, Seaborn, Data Visualization. Personal Project: Sentiment Analysis with BERT (PyTorch). Academic Project: Image Classification using CNNs (TensorFlow). Deep Learning Specialization (Coursera)."
Candidate_02,"B.S. in Data Science, Central University (2022).",Data Analyst Intern at DataInsights Co. (2021-2022): Performed data cleaning and analysis using Pandas and NumPy. Created dashboards with Tableau. Software Developer Intern at WebSolutions (2020): Developed Python scripts for backend tasks.,"Python, Pandas, NumPy, SQL, Excel, Data Analysis, Statistics, Data Visualization, Matplotlib, Seaborn, Basic Machine Learning (Scikit-learn), Git, Web Development (Flask).",Academic Project: Customer Churn Prediction (Scikit-learn). Personal Project: Exploratory Data Analysis of E-commerce sales.,Data Science Professional Certificate (IBM).,"B.S. in Data Science, Central University (2022). Data Analyst Intern at DataInsights Co. (2021-2022): Performed data cleaning and analysis using Pandas and NumPy. Created dashboards with Tableau. Software Developer Intern at WebSolutions (2020): Developed Python scripts for backend tasks. Python, Pandas, NumPy, SQL, Excel, Data Analysis, Statistics, Data Visualization, Matplotlib, Seaborn, Basic Machine Learning (Scikit-learn), Git, Web Development (Flask). Academic Project: Customer Churn Prediction (Scikit-learn). Personal Project: Exploratory Data Analysis of E-commerce sales. Data Science Professional Certificate (IBM)."
Candidate_03,"B.S. in Software Engineering, Tech Institute (2023).",Frontend Developer Intern at UI/UX Corp (2022-2023): Developed user interfaces using React and JavaScript. Backend Developer Intern at API Builders (2021): Built REST APIs with Node.js and Express.,"JavaScript, React, Node.js, HTML, CSS, SQL, Git, AWS (basic), Docker (basic), Agile Methodologies, Problem Solving, Communication, Python (intermediate).","Personal Project: E-commerce Website (React, Node.js). Academic Project: Collaborative Task Management App.",Full-Stack Web Development Bootcamp.,"B.S. in Software Engineering, Tech Institute (2023). Frontend Developer Intern at UI/UX Corp (2022-2023): Developed user interfaces using React and JavaScript. Backend Developer Intern at API Builders (2021): Built REST APIs with Node.js and Express. JavaScript, React, Node.js, HTML, CSS, SQL, Git, AWS (basic), Docker (basic), Agile Methodologies, Problem Solving, Communication, Python (intermediate). Personal Project: E-commerce Website (React, Node.js). Academic Project: Collaborative Task Management App. Full-Stack Web Development Bootcamp."
Candidate_04,"M.S. in Computational Linguistics, Language University (2024 - expected). B.A. in Linguistics with Computer Science Minor (2022).",NLP Research Assistant at TextMining Lab (2022-2023): Worked on text classification and sentiment analysis using spaCy and NLTK. Developed custom NLP pipelines. Teaching Assistant for 'Introduction to Python' (2021-2022).,"Python, NLP, spaCy, NLTK, Machine Learning (Scikit-learn), Pandas, NumPy, Statistics, Linguistics, Text Preprocessing, Git, PyTorch (basic), Data Structures.",Academic Project: Named Entity Recognition for historical texts. Personal Project: Chatbot development using rule-based and ML approaches.,NLP Specialization (DeepLearning.AI).,"M.S. in Computational Linguistics, Language University (2024 - expected). B.A. in Linguistics with Computer Science Minor (2022). NLP Research Assistant at TextMining Lab (2022-2023): Worked on text classification and sentiment analysis using spaCy and NLTK. Developed custom NLP pipelines. Teaching Assistant for 'Introduction to Python' (2021-2022). Python, NLP, spaCy, NLTK, Machine Learning (Scikit-learn), Pandas, NumPy, Statistics, Linguistics, Text Preprocessing, Git, PyTorch (basic), Data Structures. Academic Project: Named Entity Recognition for historical texts. Personal Project: Chatbot development using rule-based and ML approaches. NLP Specialization (DeepLearning.AI)."
Candidate_05,"Ph.D. Candidate in Deep Learning, Advanced Research Institute (2025 - expected). M.S. in Computer Vision, Vision University (2022).",Deep Learning Researcher at AI Labs (2022-2023): Designed and trained CNNs for medical image analysis using TensorFlow and Keras. Published 2 conference papers. Graduate Teaching Assistant for 'Deep Learning Fundamentals' (2021-2022).,"Deep Learning, TensorFlow, Keras, PyTorch, Computer Vision, CNNs, RNNs, Machine Learning, Python (advanced), NumPy, Pandas, Git, LaTeX, Scientific Writing, Experiment Design.",Dissertation: Novel Architectures for Few-Shot Learning. Academic Project: Object Detection using YOLOv3 (PyTorch).,Google TensorFlow Developer Certificate.,"Ph.D. Candidate in Deep Learning, Advanced Research Institute (2025 - expected). M.S. in Computer Vision, Vision University (2022). Deep Learning Researcher at AI Labs (2022-2023): Designed and trained CNNs for medical image analysis using TensorFlow and Keras. Published 2 conference papers. Graduate Teaching Assistant for 'Deep Learning Fundamentals' (2021-2022). Deep Learning, TensorFlow, Keras, PyTorch, Computer Vision, CNNs, RNNs, Machine Learning, Python (advanced), NumPy, Pandas, Git, LaTeX, Scientific Writing, Experiment Design. Dissertation: Novel Architectures for Few-Shot Learning. Academic Project: Object Detection using YOLOv3 (PyTorch). Google TensorFlow Developer Certificate."
Candidate_06,"B.S. in Theoretical Computer Science, Prestigious College (2023). GPA: 3.9/4.0.",Academic Tutor for Algorithms and Data Structures (2021-2023). Research Assistant for formal methods in AI (2022): Focused on theoretical aspects of AI.,"Python, Java, C++, Data Structures, Algorithms, Discrete Mathematics, Logic, Theoretical Computer Science, Machine Learning (conceptual understanding), Statistics, Git (basic).",Academic Project: Implementation of various sorting algorithms. Academic Project: Proof-of-concept for a new cryptographic protocol.,None listed.,"B.S. in Theoretical Computer Science, Prestigious College (2023). GPA: 3.9/4.0. Academic Tutor for Algorithms and Data Structures (2021-2023). Research Assistant for formal methods in AI (2022): Focused on theoretical aspects of AI. Python, Java, C++, Data Structures, Algorithms, Discrete Mathematics, Logic, Theoretical Computer Science, Machine Learning (conceptual understanding), Statistics, Git (basic). Academic Project: Implementation of various sorting algorithms. Academic Project: Proof-of-concept for a new cryptographic protocol. None listed."
Candidate_07,"B.S. in Computer Engineering, Global University (2023).",DevOps Intern at CloudHost (2022-2023): Managed CI/CD pipelines using Docker and Kubernetes. Deployed applications on AWS. IT Support Specialist (2021): Resolved technical issues.,"Docker, Kubernetes, AWS, Linux, Shell Scripting, Git, CI/CD, Networking, Cloud Computing, Problem Solving, Communication, Python (basic), SQL (basic).",Personal Project: Automated Server Provisioning with Ansible. Academic Project: Building a scalable web service using microservices architecture.,AWS Certified Cloud Practitioner.,"B.S. in Computer Engineering, Global University (2023). DevOps Intern at CloudHost (2022-2023): Managed CI/CD pipelines using Docker and Kubernetes. Deployed applications on AWS. IT Support Specialist (2021): Resolved technical issues. Docker, Kubernetes, AWS, Linux, Shell Scripting, Git, CI/CD, Networking, Cloud Computing, Problem Solving, Communication, Python (basic), SQL (basic). Personal Project: Automated Server Provisioning with Ansible. Academic Project: Building a scalable web service using microservices architecture. AWS Certified Cloud Practitioner."
Candidate_08,"B.S. in Applied Mathematics, Metropolitan University (2023).",Junior Analyst at QuantFirm (2022-2023): Assisted in quantitative research using MATLAB and some Python scripting. Intern at Fintech Solutions (2021): Data entry and basic reporting.,"Mathematics, Statistics, Probability, MATLAB, Python, Excel, Data Analysis, Report Writing, Communication, NumPy (basic), Pandas (basic), SQL (basic), Git (basic).",Academic Project: Financial Market Prediction using time series analysis. Personal Project: Simple linear regression model in Python.,Financial Modeling & Valuation Analyst (FMVA).,"B.S. in Applied Mathematics, Metropolitan University (2023). Junior Analyst at QuantFirm (2022-2023): Assisted in quantitative research using MATLAB and some Python scripting. Intern at Fintech Solutions (2021): Data entry and basic reporting. Mathematics, Statistics, Probability, MATLAB, Python, Excel, Data Analysis, Report Writing, Communication, NumPy (basic), Pandas (basic), SQL (basic), Git (basic). Academic Project: Financial Market Prediction using time series analysis. Personal Project: Simple linear regression model in Python. Financial Modeling & Valuation Analyst (FMVA)."
Candidate_09,"B.S. in Electrical Engineering, Technical College (2023).",Embedded Systems Intern at DeviceCo (2022-2023): Programmed microcontrollers in C/C++. Designed circuit boards. Quality Assurance Tester (2021): Performed manual and automated testing.,"C/C++, Embedded Systems, Microcontrollers, Circuit Design, Linux, Troubleshooting, Testing, Hardware, Python (basic scripting), Git (basic).",Academic Project: Smart Home Automation System. Personal Project: Robotic Arm Control System.,Certified Embedded Systems Engineer.,"B.S. in Electrical Engineering, Technical College (2023). Embedded Systems Intern at DeviceCo (2022-2023): Programmed microcontrollers in C/C++. Designed circuit boards. Quality Assurance Tester (2021): Performed manual and automated testing. C/C++, Embedded Systems, Microcontrollers, Circuit Design, Linux, Troubleshooting, Testing, Hardware, Python (basic scripting), Git (basic). Academic Project: Smart Home Automation System. Personal Project: Robotic Arm Control System. Certified Embedded Systems Engineer."
Candidate_10,"B.S. in Computer Science, City University (2023).",Software Development Intern at StartupX (2022-2023): Contributed to a Python-based web application. Data Entry Specialist (2021).,"Python, Java, Data Structures, Algorithms, SQL, Git, Problem Solving, Communication, Linux (basic), Machine Learning (introductory concepts), Scikit-learn (basic), Pandas (basic), NumPy (basic).",Academic Project: Simple recommendation system. Personal Project: Basic inventory management system.,None listed.,"B.S. in Computer Science, City University (2023). Software Development Intern at StartupX (2022-2023): Contributed to a Python-based web application. Data Entry Specialist (2021). Python, Java, Data Structures, Algorithms, SQL, Git, Problem Solving, Communication, Linux (basic), Machine Learning (introductory concepts), Scikit-learn (basic), Pandas (basic), NumPy (basic). Academic Project: Simple recommendation system. Personal Project: Basic inventory management system. None listed."
